BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000002480,02.03.2026,EV00000143,EXPRES DENİZ TUTKALI,36.00,152.00,"5,472.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002480,02.03.2026,MHT0000009,MUHTELİF HIRDAVAT,15.00,"1,460.00","21,900.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002480,02.03.2026,OF00000180,ÇELİK MACUN,12.00,140.00,"1,680.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001242,02.03.2026,MHT0000062,ALPİ KAPLAMA - TİTANİUM,30.00,769.77,"23,093.10",KAPSAN KAPLAMA VE AĞAÇ SAN.AŞ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,115.00,690.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,9.00,110.00,990.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,85.00,510.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,65.00,390.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,55.00,330.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,370.00,740.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,450.00,900.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,1.00,175.00,175.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,345.00,690.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,3.00,425.00,"1,275.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
